実装ファイル,主要クラス/関数,行番号,対応要件ID,設計根拠,テストファイル,実装状況
src/lib.rs,Config::load_from_file(),39-52,"FR001-2, NFR003-1",OAuth設定管理,tests/property_tests.rs,✅ 完了
src/lib.rs,Config::create_sample_file(),72-95,FR001-2,サンプル設定生成,tests/property_tests.rs,✅ 完了
src/lib.rs,Config::save_to_file(),115-133,"FR001-2, NFR003-1",設定保存・暗号化,tests/property_tests.rs,✅ 完了
src/lib.rs,ZoomVideoMoverError,9-17,"NFR002-1, NFR002-2",包括的エラー処理,tests/error_handling_tests.rs,✅ 完了
src/lib.rs,AuthToken::is_valid(),267-269,FR001-3,トークン有効性検証,tests/property_tests.rs,✅ 完了
src/lib.rs,AuthToken::has_scope(),271-273,"FR001-3, NFR003-2",スコープ検証,tests/property_tests.rs,✅ 完了
src/lib.rs,AuthToken::has_all_scopes(),275-277,"FR001-3, NFR003-2",複数スコープ検証,tests/property_tests.rs,✅ 完了
src/lib.rs,ZoomRecordingDownloader::new(),484-495,"FR001-1, FR002-1",基本インスタンス作成,tests/property_tests.rs,✅ 完了
src/lib.rs,ZoomRecordingDownloader::new_with_token(),497-508,"FR001-1, FR002-1",トークン付きインスタンス,tests/property_tests.rs,✅ 完了
src/lib.rs,rate_limit_check(),364-385,NFR001-1,レート制限自動制御,tests/rate_limit_tests.rs,✅ 完了
src/lib.rs,handle_rate_limit_response(),387-418,NFR001-1,HTTP 429処理,tests/rate_limit_tests.rs,✅ 完了
src/lib.rs,retry_with_exponential_backoff(),450-483,NFR001-2,指数バックオフ,tests/retry_tests.rs,✅ 完了
src/lib.rs,generate_auth_url(),519-541,FR001-4,OAuth認証URL生成,tests/property_tests.rs,✅ 完了
src/lib.rs,exchange_code(),542-618,"FR001-1, FR001-3",認証コード→トークン交換,tests/property_tests.rs,✅ 完了
src/lib.rs,get_recordings(),644-787,"FR002-1, FR002-3, FR002-4",録画一覧取得,tests/property_tests.rs,✅ 完了
src/lib.rs,download_file(),789-831,"FR003-1, FR003-2",ファイルダウンロード,tests/download_tests.rs,✅ 完了
src/lib.rs,sanitize_filename(),61-86,"FR003-4, NFR004-2",ファイル名安全化,tests/property_tests.rs,✅ 完了
src/lib.rs,parse_datetime(),88-108,"FR002-1, FR003-3",日時パース,tests/property_tests.rs,✅ 完了
src/lib.rs,RecordingFile,163-174,FR003-3,録画ファイル情報,tests/property_tests.rs,✅ 完了
src/lib.rs,MeetingRecording,177-188,"FR002-2, FR003-3",会議録画情報,tests/property_tests.rs,✅ 完了
src/lib.rs,RecordingResponse,191-198,"FR002-1, FR002-4",API レスポンス,tests/property_tests.rs,✅ 完了
src/lib.rs,AISummaryResponse,220-255,FR004-2,AI要約データ,tests/ai_summary_tests.rs,✅ 完了
src/gui.rs,ZoomDownloaderApp,-,FR005-1,GUIメイン状態管理,tests/gui_integration.rs,✅ 完了
src/gui.rs,render_config(),-,FR005-2,設定画面描画,tests/config_ui_tests.rs,✅ 完了
src/gui.rs,render_recordings(),-,"FR002-2, FR005-3",録画リスト表示,tests/gui_integration.rs,✅ 完了
src/gui.rs,render_progress(),-,FR003-2,進捗バー表示,tests/progress_tests.rs,✅ 完了
src/main_gui.rs,main(),-,FR005-1,GUI アプリ起動,tests/gui_integration.rs,✅ 完了
src/main.rs,main(),-,FR006-1,CLI アプリ起動,tests/cli_tests.rs,✅ 完了
src/windows_console.rs,setup_console_encoding(),15,NFR004-1,Windows UTF-8設定,tests/encoding_tests.rs,✅ 完了
-,AI要約API呼び出し,-,FR004-1,API仕様未確定のため実装待ち,-,⏳ 待ち
-,同時ダウンロード数制限,-,NFR001-3,パフォーマンス要件,-,⏳ 待ち
-,ログ出力機能,-,NFR002-3,信頼性要件,-,⏳ 待ち
